rank,name,country,profits,headquarters,revenue,marketvalue,assets,ceo,industry,state
1574,360 Security Technology,China,10,China,321,39253,3637,Hong Zhou,Software & Programming,
214,3M,United States,4137,Minnesota,32250,121802,38575,Inge Thulin,Conglomerates,Minnesota
1252,3i Group,United Kingdom,1535.3,United Kingdom,353,12940,9641,Simon Borrows,Investment Services,
1618,77 Bank,Japan,188.5,Japan,898,1840,75939,Hiroshi Kamata,Regional Banks,
1296,AAC Technologies Holdings,China,791.2,China,3137,18945,4718,Zheng Pan,Electronics,
264,ABB,Switzerland,2057.2,Switzerland,35037,51263,43570,Ulrich Spiesshofer,Conglomerates,
1479,AECOM Technology,United States,181.4,California,19120,5331,14617,Michael Burke,Construction Services,California
1142,AES,United States,158,Virginia,12474,8129,32573,Andrés Ricardo Weilert,Electric Utilities,Virginia
1172,AGL Energy,Australia,640.8,Australia,9968,10867,11229,Andy Vesey,Electric Utilities,
1028,AGNC Investment,United States,1119,Maryland,2196,7435,69221,Gary Kain,Investment Services,Maryland
92,AIA Group,Hong Kong,6120.5,Hong Kong,31917,111406,213210,Ng Keng Hooi,Life & Health Insurance,
101,AIRBUS,Netherlands,2976.5,Netherlands,74672,92149,138333,Thomas Enders,Aerospace & Defense,
1377,ALFA,Mexico,-86.6,Mexico,17397,5814,19120,Armando Sada,Conglomerates,
762,AMP,Australia,650,Australia,12751,8121,115825,Mike Wilkins,Investment Services,
104,ANZ,Australia,5272.9,Australia,28739,61245,717290,Shayne Elliott,Major Banks,
451,ASML Holding,Netherlands,2692.5,Netherlands,10978,85378,22930,Peter Wennink,Semiconductors,
15,AT&T,United States,30643,Texas,159219,198293,446343,Randall Stephenson,Telecommunications services,Texas
858,ATOS,France,677.5,France,14315,13904,16192,Thierry Breton,Computer Services,
1116,AU Optronics,Taiwan,1063.7,Taiwan,11210,4091,14834,Shuang Peng,Electronics,
1433,AVIC Capita,China,459.4,China,1910,7723,36182,Hong Zhao,Investment Services,
33,AXA Group,France,6745,France,149895,64058,1029142,Thomas Buberl,Diversified Insurance,
1748,Aareal Bank,Germany,224.4,Germany,1146,3011,50979,Hermann Merkens,Thrifts & Mortgage Finance,
137,AbbVie,United States,6352,Illinois,29612,165321,69342,Richard Gonzalez,Pharmaceuticals,Illinois
421,Abbott Laboratories,United States,466,Illinois,28445,107400,70908,Miles White,Pharmaceuticals,Illinois
1480,Abengoa,Spain,4825,Spain,1669,255,7635,Joaquin Marin,Construction Services,
766,Abertis,Spain,1012.2,Spain,5922,19870,35821,Francisco Navarro,Other Transportation,
1959,Abiomed,United States,112.2,Massachusetts,594,16538,786,Michael Minogue,Medical Equipment & Supplies,Massachusetts
833,Abitare In Spa,Italy,918.5,Italy,21546,69,32669,Luigi Gozzini,Real Estate,
930,Abu Dhabi Commercial Bank,United Arab Emirates,1148,United Arab Emirates,3500,9656,72597,Ala'a Khalil Eraiqat,Regional Banks,
1489,Abu Dhabi Islamic Bank,United Arab Emirates,544.1,United Arab Emirates,1824,3295,33795,Khamis Al-Shamsi,Regional Banks,
288,Accenture,Ireland,3589.3,Ireland,39120,101016,23133,Pierre Nanterme,Computer Services,
1643,Acciona,Spain,248.3,Spain,8182,4588,20591,José Entrecanales,Construction Services,
1431,Accor,France,455.7,France,2185,16052,14501,Sébastien Bazin,Hotels & Motels,
997,Activision Blizzard,United States,347,California,7257,54578,18397,Robert Kotick,Recreational Products,California
1605,Adani Ports & Special Economic Zone,India,561,India,1756,12669,7264,Mrithyunjay Chandilya,Other Transportation,
866,Adecco,Switzerland,869.4,Switzerland,27631,10971,12531,Alain Dehaze,Business & Personal Services,
457,Adidas,Germany,1671.1,Germany,24914,46154,18208,Kasper Rørsted,Apparel/Accessories,
1567,Adient,Ireland,164,Ireland,16796,5214,13089,Robert McDonald,Auto & Truck Parts,
627,Adobe Systems,United States,1878.6,California,7683,119119,14973,Shantanu Narayen,Software & Programming,California
1461,Advance Auto Parts,United States,475.5,Virginia,9374,8876,8482,Tom Greco,Specialty Stores,Virginia
1243,Advanced Info Service,Thailand,886.4,Thailand,4648,18389,8717,Somchai Lertsutiwong,Telecommunications services,
1867,Advanced Micro Devices,United States,197,California,5992,11584,3763,Lisa Su,Semiconductors,California
1083,Advanced Semiconductor,Taiwan,751.2,Taiwan,9633,11223,12240,Hung Pen Chang,Semiconductors,
277,Aegon,Netherlands,2550.3,Netherlands,35249,14114,452368,Alexander Wynaendts,Diversified Insurance,
846,Aena,Spain,1475.1,Spain,4686,31801,18871,Jaime Ponce,Other Transportation,
614,Aeon,Japan,220.1,Japan,75310,16519,88588,Motoya Okada,Food Retail,
1025,AerCap Holdings,Ireland,1080.4,Ireland,4961,7974,42494,Aengus Kelly,Other Transportation,
1932,Aeroflot-Russian Airlines,Russia,392.1,Russia,9137,2476,5933,Vitaly Savelyev,Airline,
1105,Aeroports de Paris,France,644.1,France,4080,21829,17143,Augustin de Romanet de Beaune,Other Transportation,
167,Aetna,United States,3494,Connecticut,60612,57135,59197,Mark Bertolini,Managed Health Care,Connecticut
1748,Affiliated Managers Group,United States,720.1,Florida,2434,8949,8584,Sean Healey,Investment Services,Florida
195,Aflac,United States,4729,Georgia,21812,35016,147356,Dan Amos,Life & Health Insurance,Georgia
657,Ageas,Belgium,702.9,Belgium,12860,10601,123234,Bart de Smet,Diversified Insurance,
1015,Agile Property Holdings,China,898.5,China,7689,7864,25086,Victor Massiah,Real Estate,
1730,Agilent Technologies,United States,196,California,4616,22396,8698,Michael McMullen,Electronics,California
5,Agricultural Bank of China,China,29638.7,China,129345,184125,3439314,Mu Zhou,Regional Banks,
1430,Ahli United Bank,Bahrain,598.3,Bahrain,1660,4770,33908,Adel Shafe El-Labban,Regional Banks,
1022,Air Canada,Canada,1484.2,Canada,12997,5078,14714,Calin Rovinescu,Airline,
1128,Air France-KLM,France,-309.1,France,29080,3778,29309,Frédéric Gagey,Airline,
1683,Air Lease Corporation,United States,781.9,California,1512,4564,15945,John Plueger,Business & Personal Services,California
257,Air Liquide,France,2519,France,22953,55116,49266,Benoît Potier,Specialized Chemicals,
695,Air Products & Chemicals,United States,1141.6,Pennsylvania,8697,36450,18511,Seifollah Ghasemi,Specialized Chemicals,Pennsylvania
1237,Airports of Thailand,Thailand,644.7,Thailand,1677,31958,5531,Prasong Poontaneat,Other Transportation,
501,Aisin Seiki,Japan,1214,Japan,35269,14857,33173,Kanshiro Toyoda,Auto & Truck Parts,
1144,Ajinomoto,Japan,550.9,Japan,10378,10441,13407,Takaaki Nishii,Food Processing,
750,Akbank,Turkey,1665,Turkey,7605,7945,89802,Hakan Binbasgil,Regional Banks,
658,Akzo Nobel,Netherlands,987.5,Netherlands,13869,22441,20395,Thierry Vanlancker,Diversified Chemicals,
563,Al Rajhi Bank,Saudi Arabia,2475.1,Saudi Arabia,4459,34919,93132,Stefano Bertamini,Regional Banks,
1355,Alaska Air Group,United States,933,Washington,8016,7461,10848,Bradley Tilden,Airline,Washington
1266,Alcoa,United States,142,Pennsylvania,12208,10061,17096,Roy Harvey,Aluminum,Pennsylvania
1921,Alexandria Real Estate Equities,United States,257.3,California,1185,13186,12821,Joel Marcus,Real Estate,California
1234,Alexion Pharmaceuticals,United States,522.1,Connecticut,3639,26624,13830,Ludwig Hantson,Biotechs,Connecticut
1524,Alfresa Holdings,Japan,321.1,Japan,23485,4923,12631,Hiroyuki Kanome,Pharmaceuticals,
81,Alibaba,China,9617.4,China,37870,499404,114005,Yong Zhang,Internet & Catalog Retail,
1767,Align Technology,United States,257.9,California,1600,22962,1783,Joseph Hogan,Medical Equipment & Supplies,California
1338,Alinma Bank,Saudi Arabia,579.1,Saudi Arabia,1403,8131,30333,Abdul Aziz Al-Fares,Regional Banks,
640,All Nippon Airways,Japan,1298.2,Japan,17791,12770,24095,Shinya Katanozaka,Airline,
1882,Allahabad Bank,India,-41.6,India,3067,573,36646,Usha Ananthasubramanian,Regional Banks,
1442,Alleghany,United States,112.5,New York,6527,8957,25097,Weston Hicks,Property & Casualty Insurance,New York
582,Allergan,Ireland,-1846.4,Ireland,16040,52104,112021,Brenton Saunders,Pharmaceuticals,
874,Alliance Data Systems,United States,806.1,Texas,7725,11526,29393,Edward Heffernan,Business & Personal Services,Texas
1706,Alliant Energy,United States,488,Wisconsin,3445,9644,14242,Patricia Kampling,Electric Utilities,Wisconsin
22,Allianz,Germany,7673.3,Germany,122549,100405,1128585,Oliver Bäte,Diversified Insurance,
759,Allied Irish Banks,Ireland,1214.8,Ireland,3786,16243,108146,Gerald Byrne,Regional Banks,
185,Allstate,United States,3469,Illinois,38003,33877,113289,Thomas Wilson,Diversified Insurance,Illinois
602,Ally Financial,United States,965,Michigan,10088,11456,170021,Jeffrey Brown,Regional Banks,Michigan
1491,Almarai,Saudi Arabia,567.7,Saudi Arabia,3675,15959,8470,Georges Schorderet,Food Processing,
1626,Alpha Bank,Greece,102.5,Greece,3464,4112,73024,Demetrios Mantzounis,Regional Banks,
23,Alphabet,United States,16637,California,117884,766350,206935,Lawrence Page,Computer Services,California
1977,Alps Electric,Japan,427.6,Japan,7744,4865,6317,Masataka Kataoka,Electronics,
1366,Alrosa,Russia,1303.2,Russia,4721,10487,7430,Sergey Ivanov,Diversified Metals & Mining,
1280,Alstom,France,412.7,France,8268,10231,16800,Henri Poupart-Lafarge,Conglomerates,
706,Altice,Netherlands,-615.9,Netherlands,26506,15853,86982,Dexter Goei,Telecommunications services,
217,Altria Group,United States,10701,Virginia,19575,104455,43899,Martin Barrington,Tobacco,Virginia
946,Aluminum Corp of China,China,195,China,26263,10111,32197,De Yu,Aluminum,
1911,AmBank Group,Malaysia,282.5,Malaysia,1736,2832,35285,Sulaiman Mohamed,Regional Banks,
1762,AmTrust Financial Services,United States,290.3,New York,6065,2615,25701,Barry Zyskind,Property & Casualty Insurance,New York
985,Amadeus IT Group,Spain,1131.2,Spain,5474,33588,9528,Luis Camino,Software & Programming,
53,Amazon.com,United States,3938,Washington,193194,777775,126362,Jeffrey Bezos,Internet & Catalog Retail,Washington
1161,Amcor,Australia,639.8,Australia,9139,12132,9060,Ron Delia,Containers & Packaging,
983,Ameren,United States,572,Missouri,6248,13857,26079,Warner Baxter,Electric Utilities,Missouri
325,American Airlines Group,United States,1871,Texas,42984,19943,53280,Doug Parker,Airline,Texas
346,American Electric,United States,1774.8,Ohio,15527,33078,65610,Nicholas Akins,Electric Utilities,Ohio
1670,American Equity Investment,United States,261.7,Iowa,2267,2591,61301,John Matovina,Life & Health Insurance,Iowa
119,American Express,United States,3096,New York,37648,87258,179956,Stephen Squeri,Consumer Financial Services,New York
990,American Financial Group,United States,467,Ohio,6697,9956,60656,Carl Lindner,Diversified Insurance,Ohio
452,American International Group,United States,-6331,New York,50275,47443,499143,Brian Duperreault,Diversified Insurance,New York
1689,American National Insurance,United States,472.6,Texas,3389,3222,26464,Robert Moody,Diversified Insurance,Texas
571,American Tower,United States,1208,Massachusetts,6790,61329,34373,James Taiclet Jr.,Real Estate,Massachusetts
1347,American Water Works,United States,439,New Jersey,3362,14863,19728,Susan Story,Diversified Utilities,New Jersey
401,Ameriprise Financial,United States,1671,Minnesota,12023,19822,144762,Jim Cracchiolo,Investment Services,Minnesota
431,AmerisourceBergen,United States,905.1,Pennsylvania,159327,19097,38396,Steven Collis,Pharmaceuticals,Pennsylvania
1361,Ametek,United States,723.9,Pennsylvania,4465,17324,8058,David Zapico,Electrical Equipment,Pennsylvania
215,Amgen,United States,2219,California,22965,115811,71164,Robert Bradway,Biotechs,California
1847,Amorepacific,South Korea,312,South Korea,4488,18726,5265,Kyung-Bae Suh,Household/Personal Care,
1018,Amphenol,United States,691.2,Connecticut,7318,26520,9404,Richard Norwitt,Electronics,Connecticut
329,América Móvil,Mexico,624.3,Mexico,54602,57779,78732,Daniel Aboumrad,Telecommunications services,
797,Anadarko Petroleum,United States,-25,Texas,11094,35186,41076,Al Walker,Oil & Gas Operations,Texas
851,Analog Devices,United States,774.8,Massachusetts,5642,34244,20853,Vincent Roche,Semiconductors,Massachusetts
429,Andeavor,United States,1650,Texas,38636,21181,28841,Gregory Goff,Oil & Gas Operations,Texas
1915,Andhra Bank,India,30.9,India,3177,648,34719,Suresh N. Patel,Regional Banks,
1051,Angang Steel,China,930.2,China,12914,7438,14646,Da Lin,Iron & Steel,
261,Anglo American,United Kingdom,3158.7,United Kingdom,26200,32007,54561,Mark Cutifani,Diversified Metals & Mining,
41,Anheuser-Busch InBev,Belgium,7907.8,Belgium,56361,184307,248635,Carlos de,Beverages,
522,Anhui Conch Cement,China,2794.2,China,11998,32269,19772,Bin Wu,Construction Materials,
742,Annaly Capital Management,United States,2456.9,New York,2664,12072,100382,Kevin Keyes,Real Estate,New York
1622,Anta Sports Products,China,457.6,China,2477,15972,2929,Shi Ding,Apparel/Accessories,
1029,AntarChile,Chile,398.5,Chile,20342,8475,22729,Andrés Bromley,Investment Services,
129,Anthem,United States,4145.4,Indiana,90114,59219,73300,Gail K. Boudreaux,Managed Health Care,Indiana
1236,Antofagasta,United Kingdom,746.9,United Kingdom,4735,13969,14210,Iván Herrera,Diversified Metals & Mining,
630,Aon,United Kingdom,742,United Kingdom,10694,35232,27847,Gregory Case,Insurance Brokers,
1676,Aozora Bank,Japan,372.9,Japan,1208,4746,43647,Shinsuke Baba,Regional Banks,
858,Apache,United States,1236,Texas,6103,15825,21791,John Christmann,Oil & Gas Operations,Texas
8,Apple,United States,53318,California,247535,926946,367502,Tim Cook,Computer Hardware,California
439,Applied Materials,United States,2866,California,15463,57620,19663,Gary Dickerson,Semiconductors,California
700,Aptiv,United Kingdom,1327,United Kingdom,15721,25476,12560,Kevin Clark,Auto & Truck Parts,
1403,Arab Bank,Jordan,523,Jordan,2546,6683,47886,Nehme Sabbagh,Regional Banks,
1123,Arab National Bank,Saudi Arabia,807.1,Saudi Arabia,2066,7975,45783,Raimon Roura,Regional Banks,
1112,Aramark,United States,498.3,Pennsylvania,15152,9356,13733,Eric Foss,Restaurants,Pennsylvania
1147,Arca Continental,Mexico,685.3,Mexico,8074,11178,12617,Francisco Egloff,Beverages,
152,ArcelorMittal,Luxembourg,4566.7,Luxembourg,68587,36820,85297,Lakshmi Mittal,Iron & Steel,
1113,Arch Capital Group,Bermuda,507.1,Bermuda,5443,10815,32132,Marc Grandisson,Property & Casualty Insurance,
324,Archer Daniels Midland,United States,1649,Illinois,61370,24593,41100,Juan Luciano,Food Processing,Illinois
1288,Arconic,United States,-253,New York,13213,8797,18219,Charles Blankenship,Aluminum,New York
1769,Ares Capital,United States,791,New York,1233,7077,12693,Kipp deVeer III,Investment Services,New York
1511,Arista Networks,United States,484.2,California,1783,19335,2580,Jayshree Ullal,Communications Equipment,California
1924,Aristocrat Leisure,Australia,377.1,Australia,1869,13616,2584,Trevor Croker,Recreational Products,
1198,Arkema,France,649.7,France,9391,9984,11641,Thierry Hénaff,Diversified Chemicals,
1257,Aroundtown Property Holdings,Luxembourg,1446.7,Luxembourg,594,8629,16535,Shmuel Mayo,Real Estate,
1185,Arrow Electronics,United States,427.3,Colorado,27929,6725,16125,Michael Long,Electronics,Colorado
1086,Arthur J. Gallagher,United States,681.1,Illinois,6545,12529,16128,Patrick Gallagher Jr.,Insurance Brokers,Illinois
919,Asahi Glass,Japan,668.3,Japan,13540,9908,20450,Takuya Shimamura,Construction Materials,
477,Asahi Group Holdings,Japan,1380.6,Japan,19379,25313,28986,Akiyoshi Koji,Beverages,
559,Asahi Kasei,Japan,1536.1,Japan,18426,18758,21778,Ichiro Itoh,Diversified Chemicals,
1192,Ashtead Group,United Kingdom,1285.8,United Kingdom,4739,14844,9042,Geoffrey Drabble,Business & Personal Services,
1882,Asian Paints,India,310.2,India,2505,18382,1950,K. S.,Specialized Chemicals,
942,Asr Nederland,Netherlands,1021.9,Netherlands,7162,6517,65875,Jos M.,Diversified Insurance,
843,Assa Abloy,Sweden,1040.4,Sweden,9176,24701,12522,Nico Delvaux,Other Industrial Equipment,
1950,Associated Banc-Corp,United States,241.2,Wisconsin,1290,4629,33367,Phil Flynn,Regional Banks,Wisconsin
542,Associated British Foods,United Kingdom,1367.5,United Kingdom,20300,29505,17803,George Weston,Food Processing,
1340,Assurant,United States,481.8,New York,6417,4614,32428,Alan Colberg,Diversified Insurance,New York
1964,Assured Guaranty,Bermuda,610,Bermuda,1327,3932,13897,Dominic Frederico,Diversified Insurance,
613,Astellas Pharma,Japan,1485.8,Japan,11732,30083,17473,Kenji Yasukawa,Pharmaceuticals,
213,AstraZeneca,United Kingdom,2976.1,United Kingdom,22440,90618,63354,Pascal Soriot,Pharmaceuticals,
1379,Asustek Computer,Taiwan,511,Taiwan,14265,6964,11590,Chen Shen,Computer Hardware,
713,Athene Holding,Bermuda,1332,Bermuda,8154,9294,93557,James Belardi,Diversified Insurance,
609,Atlantia,Italy,1321.7,Italy,6140,27516,48707,Giovanni Castellucci,Other Transportation,
540,Atlas Copco,Sweden,2047.3,Sweden,13222,49520,16075,Mats Rahmström,Other Industrial Equipment,
1720,Atmos Energy,United States,599.2,Texas,3100,9801,11356,Michael Haefner,Natural Gas Utilities,Texas
1123,Attijariwafa Bank,Morocco,555.4,Morocco,3719,10035,50891,Mohamed Kettani,Regional Banks,
1564,Aurubis,Germany,453.8,Germany,12915,4141,5563,Juergen Schachler,Diversified Metals & Mining,
1447,AutoNation,United States,430.2,Florida,21655,4181,10220,Michael Jackson,Specialty Stores,Florida
862,AutoZone,United States,1336.1,Tennessee,11134,17778,9404,William Rhodes,Specialty Stores,Tennessee
1660,Autodesk,United States,-566.9,California,2049,29845,4114,Andrew Anagnost,Software & Programming,California
1319,Autoliv,Sweden,409.9,Sweden,10587,12396,8878,Jan Carlson,Auto & Truck Parts,
373,Automatic Data Processing,United States,1777.9,New Jersey,13072,56096,44066,Carlos Rodriguez,Business & Personal Services,New Jersey
1023,AvalonBay Communities,United States,780.5,Virginia,2187,22995,18646,Timothy Naughton,Real Estate,Virginia
1953,Avery Dennison,United States,294.8,California,6818,9478,5280,Mitchell Butier,Specialized Chemicals,California
1529,Avis Budget Group,United States,381,New Jersey,8977,3527,19222,Larry de Shon,Rental & Leasing,New Jersey
171,Aviva,United Kingdom,1927.9,United Kingdom,63718,29521,580591,Mark Wilson,Life & Health Insurance,
1701,Avnet,United States,-138.9,Arizona,18584,4808,9712,Bill Amelio,Electronics,Arizona
1993,Awa Bank,Japan,107,Japan,593,1464,30885,Yoshifumi Okada,Regional Banks,
1508,Axiata Group,Malaysia,211.5,Malaysia,5676,12118,17467,Jamaludin bin Ibrahim,Telecommunications services,
635,Axis Bank,India,589.5,India,8590,21108,94180,Shikha Sharma,Regional Banks,
1216,Ayala,Philippines,600.3,Philippines,4805,11543,20520,Jaime Zobel,Conglomerates,
1776,B3,Brazil,406,Brazil,1151,13430,11677,Gilson Finkelsztain,Investment Services,
466,BAE Systems,United Kingdom,1099.8,United Kingdom,23595,27450,30373,Charles Woodburn,Aerospace & Defense,
1109,BAIC Motor,China,334.2,China,19858,7842,25707,Shao Wang,Auto & Truck Manufacturers,
82,BASF,Germany,7067.8,Germany,75100,95299,98947,Martin Brudermüller,Diversified Chemicals,
255,BB&T,United States,2761,North Carolina,12281,42933,220729,Kelly King,Major Banks,North Carolina
1362,BBMG,China,320,China,9109,6595,37399,Jin PhD,Construction Materials,
1780,BBVA Banco Continental,Peru,432.4,Peru,1827,6838,23921,Eduardo Torres-Llosa,Regional Banks,
116,BBVA-Banco Bilbao Vizcaya,Spain,4277.1,Spain,29239,54477,843010,Carlos Vila,Regional Banks,
333,BCE,Canada,2260.3,Canada,17862,37772,43939,George Cope,Telecommunications services,
1130,BCI-Banco Credito,Chile,572.3,Chile,3195,9209,55097,Eugenio Chrismar,Major Banks,
1724,BCV Group,Switzerland,325.3,Switzerland,1170,6853,46603,Pascal Kiener,Regional Banks,
1072,BDO Unibank,Philippines,553.7,Philippines,2984,11133,53617,Nestor Tan,Regional Banks,
1533,BGF Retail,South Korea,3093.9,South Korea,2387,3175,802,Jae-Gu Park,Food Retail,
108,BHP Billiton,Australia,4712,Australia,41234,133205,112582,Mark Hurd,Diversified Metals & Mining,
40,BMW Group,Germany,10239.4,Germany,114435,72348,241324,Harald Krüger,Auto & Truck Manufacturers,
1443,BNK Financial Group,South Korea,389.8,South Korea,3789,3048,102494,Ji-Wan Kim,Regional Banks,
19,BNP Paribas,France,8501.2,France,117774,93581,2353870,Jean-Laurent Bonnafé,Major Banks,
506,BOE Technology Group,China,1084,China,14013,24074,41758,Yan Chen,Electronics,
1816,BOK Financial,United States,348.3,Oklahoma,1656,6781,33361,Steve Bradshaw,Regional Banks,Oklahoma
36,BP,United Kingdom,4319,United Kingdom,251939,152567,275287,Robert Dudley,Oil & Gas Operations,
1352,BPER Banca,Italy,482.5,Italy,3011,2882,84786,Alessandro Vandelli,Regional Banks,
1773,BRF,Brazil,-352.3,Brazil,10483,5329,14171,Lorival Luz Jr.,Food Processing,
282,BT Group,United Kingdom,2176.4,United Kingdom,30788,29179,61052,Dong-Hyun Jang,Telecommunications services,
694,BYD,China,532,China,16333,21445,28942,Chuan Wang,Auto & Truck Manufacturers,
300,Baidu,China,3517,China,13413,94126,42829,Yan Li,Computer Services,
1581,Bajaj Auto,India,599.8,India,3577,12111,3518,Rajivnayan Bajaj,Recreational Products,
1003,Ball,United States,456,Colorado,11303,13463,17731,John Hayes,Containers & Packaging,Colorado
1264,Banca MPS,Italy,-3950.4,Italy,6542,4220,167306,Jung-Won Park,Regional Banks,
1509,Banca Mediolanum,Italy,428.6,Italy,3914,5844,51876,Massimo Doris,Life & Health Insurance,
1756,Banca Popolare di Sondrio,Italy,179.6,Italy,1348,2099,49983,Mario Pedranzini,Regional Banks,
1908,Banco BPI,Portugal,11.5,Portugal,1137,2527,35592,Fernando Costa,Major Banks,
831,Banco BPM,Italy,2951,Italy,5195,5334,193577,Giuseppe Castagna,Regional Banks,
65,Banco Bradesco,Brazil,4677.7,Brazil,76500,61340,370504,Octávio Lazari Jr.,Regional Banks,
1583,Banco Comercial Portugues,Portugal,259.3,Portugal,3383,5389,89380,Nuno Amado,Regional Banks,
1638,Banco Davivienda,Colombia,432,Colombia,3580,5205,33765,Carlos Arango,Regional Banks,
31,Banco Santander,Spain,7953.6,Spain,56068,106323,1769144,José Álvarez,Major Banks,
1708,Banco de Chile,Chile,132.6,Chile,3930,6461,55079,Arturo Quiroz,Regional Banks,
620,Banco de Sabadell,Spain,987.1,Spain,8355,11544,269355,Jaime Romojaro,Regional Banks,
140,Banco do Brasil,Brazil,3448.8,Brazil,55033,27832,412771,Paulo Caffarelli,Regional Banks,
761,Bancolombia,Colombia,885.8,Colombia,7417,11547,68322,Juan Uribe,Regional Banks,
1756,Bandai Namco Holdings,Japan,488.2,Japan,6120,8379,5082,Takeo Takasu,Recreational Products,
829,Bangkok Bank,Thailand,1019.8,Thailand,4939,11387,101500,Chatri Sophonpanich,Regional Banks,
1415,Bank Audi,Lebanon,542.3,Lebanon,3321,2299,43301,Samir Hanna,Regional Banks,
574,Bank Central Asia,Indonesia,1773.2,Indonesia,5164,40208,55218,Jahja Setiaatmadja,Regional Banks,
932,Bank Hapoalim,Israel,739.5,Israel,4966,9568,130896,Ari Pinto,Regional Banks,
912,Bank Leumi,Israel,881.9,Israel,4792,9301,129896,Rakefet Russak-Aminoach,Regional Banks,
489,Bank Mandiri,Indonesia,1668.4,Indonesia,8110,24086,79774,Kartika Wirjoatmodjo,Regional Banks,
1655,Bank Muscat,Oman,463.2,Oman,1527,2895,29363,Abdul Ali Issa,Regional Banks,
903,Bank Negara Indonesia,Indonesia,1044.4,Indonesia,4902,11062,50837,Achmad Baiquni,Regional Banks,
1507,Bank Of Chengdu,China,388,China,2083,6050,72219,Jie Li,Regional Banks,
1484,Bank Of Gansu,China,495,China,2157,3476,41638,Xin Li,Regional Banks,
1301,Bank Of Guiyang,China,550.1,China,2174,4935,73164,Zong Chen,Regional Banks,
1048,Bank Of Hangzhou,China,673.3,China,5375,6687,127970,Zhen Chen,Regional Banks,
437,Bank Of Jiangsu,China,1838.3,China,12878,13158,285716,Ping Xia,Regional Banks,
358,Bank Of Shanghai,China,2268.1,China,11813,19112,292047,Yu Jin,Regional Banks,
1106,Bank Pekao,Poland,655.8,Poland,2328,8802,53374,Michal Krupinski,Regional Banks,
415,Bank Rakyat Indonesia,Indonesia,2213.9,Indonesia,9258,27690,81296,Suprajarto,Regional Banks,
6,Bank of America,United States,20294,North Carolina,102978,313510,2328478,Brian Moynihan,Major Banks,North Carolina
1218,Bank of Baroda,India,270.7,India,7804,5602,110760,P. Jayakumar,Regional Banks,
262,Bank of Beijing,China,2877.9,China,15887,22964,380335,Ying Zeng,Major Banks,
9,Bank of China,China,26353.5,China,118150,158628,3204207,Si Chen,Major Banks,
1303,Bank of Chongqing,China,565.3,China,3249,2299,67371,Xiao Yang,Regional Banks,
38,Bank of Communications,China,10729,China,59050,66642,1472867,Shu Song,Major Banks,
828,Bank of East Asia,Hong Kong,1122.4,Hong Kong,3573,12250,103481,David LI Kwok-po,Regional Banks,
1860,Bank of Greece,Greece,1062.3,Greece,1679,354,,Konstantinos Michalidis,Major Banks,
1292,Bank of India,India,-219.2,India,6920,2588,97332,Dina Mohapatra,Major Banks,
962,Bank of Ireland,Ireland,722,Ireland,4030,9664,147163,Francesca McDonagh,Regional Banks,
1946,Bank of Iwate,Japan,49.8,Japan,408,709,33445,Masahiro Takahashi,Regional Banks,
907,Bank of Jinzhou,China,1331.5,China,5958,6238,111090,Hong Cai,Regional Banks,
1604,Bank of Kyoto,Japan,199.8,Japan,981,4453,81670,Hideo Takasaki,Regional Banks,
139,Bank of Montreal,Canada,3742.7,Canada,22229,50878,593315,Darryl White,Major Banks,
1919,Bank of Nagoya,Japan,49.3,Japan,562,714,34559,Kazumaro Kato,Regional Banks,
569,Bank of Nanjing,China,1524,China,8507,11583,187454,Sheng Hu,Regional Banks,
162,Bank of New York Mellon,United States,4302,New York,17279,57791,373597,Charles Scharf,Major Banks,New York
541,Bank of Ningbo,China,1478.1,China,8089,14534,169851,Li Hong,Regional Banks,
88,Bank of Nova Scotia,Canada,6454.1,Canada,28830,74979,752457,Brian Porter,Major Banks,
1781,Bank of Qingdao,China,279.4,China,1898,3614,47033,Qing Chen,Regional Banks,
1841,Bank of Queensland,Australia,281.8,Australia,1760,2978,39938,Jon Sutton,Regional Banks,
1221,Bank of Tianjin,China,575.8,China,4411,3581,107788,Philip Rene,Regional Banks,
1258,Bank of Zhengzhou,China,632.7,China,3034,2563,66927,Tian Wang,Regional Banks,
1874,Bank of the Ozarks,United States,445.8,Arkansas,1100,6229,22039,George Gleason,Regional Banks,Arkansas
805,Bankia,Spain,865.9,Spain,3952,13710,257098,José Álvarez,Regional Banks,
1035,Bankinter,Spain,600.5,Spain,2487,9773,87678,María Dancausa,Regional Banks,
1466,Bankunited,United States,613.1,Florida,1408,4364,30433,Rajinder Singh,Regional Banks,Florida
1827,Banque Centrale Populaire,Morocco,292.9,Morocco,2707,5682,41036,Mohamed Benchaaboun,Regional Banks,
1936,Banque Marocaine Du Commerce Exterieur,Morocco,209.8,Morocco,1946,4122,33525,Othman Benjelloun,Regional Banks,
987,Banque Saudi Fransi,Saudi Arabia,944,Saudi Arabia,2205,10310,49071,Rayan Mohammed,Regional Banks,
236,Baoshan Iron & Steel,China,3078.8,China,40743,31673,56219,Ji Zou,Iron & Steel,
480,Barclays,United Kingdom,-2173.8,United Kingdom,27142,49718,1533001,Jes Staley,Major Banks,
1518,Barratt Developments,United Kingdom,810.6,United Kingdom,6210,7701,9046,David Thomas,Construction Services,
791,Barrick Gold,Canada,969.6,Canada,8180,15727,25396,John Thornton,Diversified Metals & Mining,
