rank,name,country,profits,headquarters,revenue,marketvalue,assets,ceo,industry,state
1938,Sichuan Changhong Electric,China,58,China,11980,2245,10505,Ti Liu,,
51,Siemens,Germany,7139.8,Germany,94469,112503,163376,Joe Kaeser,Conglomerates,
1710,Signature Bank,United States,287.8,New York,1566,7012,44436,Joseph DePaolo,Regional Banks,New York
1973,Signet Jewelers,Bermuda,519.3,Bermuda,6253,2250,5840,Virginia Drosos,Specialty Stores,
1131,Sika,Switzerland,653.8,Switzerland,6348,20643,5944,Paul Schuler,Construction Materials,
1535,Sime Darby,Malaysia,677.3,Malaysia,8746,4631,6118,Jeffri Davidson,Conglomerates,
1624,Sime Darby Plantation,Malaysia,818.4,Malaysia,3449,9365,7209,Franki Dass,Food Processing,
597,Simon Property Group,United States,1952,Indiana,5567,49518,31018,David Simon,Real Estate,Indiana
354,SingTel,Singapore,4081.3,Singapore,12686,43293,36551,Sock Chua,Telecommunications services,
1119,Singapore Airlines,Singapore,414.9,Singapore,11234,9874,20085,Choon Goh,Airline,
1828,Sino Biopharmaceutical,Hong Kong,321,Hong Kong,2193,19792,3215,Ping Tse,Biotechs,
1472,Sino Land,Hong Kong,960.7,Hong Kong,1549,5870,20304,Chee Ng,Real Estate,
1147,Sino-Ocean Land Holdings,China,756.5,China,6885,5429,29468,Ming Li,Real Estate,
1715,SinoPac Financial,Taiwan,298.6,Taiwan,1557,3973,53738,Shih Chu,Regional Banks,
381,Sinohydro Group,China,1143.5,China,41183,15167,96368,Hong Sun,Construction Services,
27,Sinopec,China,8035.7,China,326585,138569,249937,Dong Zhao,Oil & Gas Operations,
651,Sinopharm Group,China,780.8,China,41110,11747,26035,Zhi Li,Pharmaceuticals,
1985,Sinotrans Ltd.,China,342,China,10759,3553,9537,Zhao Huxiang,Air Courier,
1862,Sinotruk Hong Kong,China,448.1,China,8215,3447,9395,Bozhi Wang,Heavy Equipment,
1482,Sistema,Russia,-1614.6,Russia,12172,1715,19761,Andrei Dubovskov,Telecommunications services,
1356,Skanska,Sweden,351,Sweden,18481,7850,13612,Anders Danielsson,Construction Services,
1290,Skyworks Solutions,United States,873.9,Massachusetts,3851,17663,4745,Liam Griffin,Semiconductors,Massachusetts
1334,Smith & Nephew,United Kingdom,764.4,United Kingdom,4763,15391,7866,Namal Nawana,Medical Equipment & Supplies,
1357,Smurfit Kappa Group,Ireland,470.3,Ireland,9657,10018,11438,Anthony James,Paper & Paper Products,
964,Snam,Italy,1011.8,Italy,2812,15638,26658,Marco Alverà,Electric Utilities,
1953,Snap-on,United States,579.1,Wisconsin,4055,8432,5318,Nicholas Pinchuk,Household/Personal Care,Wisconsin
161,Société Générale,France,2639,France,27831,38341,1531174,Frédéric Oudéa,Major Banks,
699,Sodexo,France,862.1,France,23495,14829,19109,Denis Machuel,Business & Personal Services,
39,Softbank,Japan,9176.6,Japan,82636,84919,293187,Masayoshi Son,Telecommunications services,
1086,Sojitz,Japan,512.9,Japan,16389,4804,22100,Yoji Sato,Trading Companies,
708,Solvay,Belgium,966.6,Belgium,13221,14327,25758,Jean-Pierre Clamadieu,Diversified Chemicals,
